关注频道,#genre#
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv1gq-h264.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://171.108.239.90:8181/tsfile/live/1027_1.m3u8#http://59.44.10.113:9901/tsfile/live/1018_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227014/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225829/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225922/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226908/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225812/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226624/index.m3u8?servicetype=1#http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-2 财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8#http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv2gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://171.108.239.90:8181/tsfile/live/1028_1.m3u8#http://59.44.10.113:9901/tsfile/live/1001_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221226915/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225923/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225800/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226795/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226795/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226795/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1#http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3 综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/mnf.m3u8?xtkg#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv3gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://171.108.239.90:8181/tsfile/live/1029_1.m3u8#http://59.44.10.113:9901/tsfile/live/1050_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227055/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1#http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8#http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg
CCTV-4 中文国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv4gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://171.108.239.90:8181/tsfile/live/1030_1.m3u8#http://59.44.10.113:9901/tsfile/live/1045_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225802/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226968/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1#http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?xtkg
CCTV-4 美洲,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8#http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8
CCTV-4 欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8#http://125.210.152.19:9090/live/hzgq-cctv5gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://171.108.239.90:8181/tsfile/live/1031_1.m3u8#http://59.44.10.113:9901/tsfile/live/1051_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227170/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1#http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8
CCTV-5+ 体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctvzhgq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://171.108.239.90:8181/tsfile/live/1044_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225821/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225939/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226919/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV-6 电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv6gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://171.108.239.90:8181/tsfile/live/1032_1.m3u8#http://59.44.10.113:9901/tsfile/live/1052_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227137/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1#http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV-7 国防军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv7gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://171.108.239.90:8181/tsfile/live/1033_1.m3u8#http://59.44.10.113:9901/tsfile/live/1070_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225805/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225927/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226972/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225805/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226972/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225805/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226972/index.m3u8?servicetype=1#http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
